18960300,,,,,,,
Atlas,Atlas,,https://d-nb.info/gnd/4143303-8,fabio:ReferenceBook,,fabio:PrintObject,fabio:AnalogItem
Audiovisuelles Material,Audio Visual Material,,https://d-nb.info/gnd/4522856-5,,fabio:AudioDocument +fabio:Movie,fabio:AnalogManifestation,fabio:AnalogItem
Aufgabensammlung,Problem Set,,https://d-nb.info/gnd/4143389-0,,fabio:TextBook,fabio:PrintObject,fabio:AnalogItem
Aufriss,Front View (Architecture),Y,https://d-nb.info/gnd/4704588-7,,,,
Aufsatz,Essay,,https://d-nb.info/gnd/4129008-2,fabio:Essay,,fabio:PrintObject,fabio:AnalogItem
Aufsatzsammlung,Auction Catalogue,,https://d-nb.info/gnd/4143413-4,fabio:Essay +fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
Auktionskatalog,Auction Catalogue,,https://d-nb.info/gnd/4143482-1,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Außenreklame,Outdoor Advertising,Y+NF,https://d-nb.info/gnd/4065541-6,,,,
Außenwerbung,Outdoor Advertising,Y+NF,https://d-nb.info/gnd/4140128-1,,,,
Ausstellung,Exhibition,Y+NF,https://d-nb.info/gnd/4129601-1,,,,
Ausstellungskatalog,Exhibition Catalog,,https://d-nb.info/gnd/4135467-9,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Autobiographie,Autobiography,,https://d-nb.info/gnd/7718823-8,fabio:Biography,,,
Autobiographie 1871-1873,Autobiography,Y,https://d-nb.info/gnd/7718823-8,fabio:Biography,,,
Ballade,Ballad,Y,https://d-nb.info/gnd/4004343-5,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Band,Volume,,,fabio:WorkCollection,fabio:ExpressionCollection,fabio:PrintObject,fabio:AnalogItem
Bauschmuck,Architectural Decor,Y,https://d-nb.info/gnd/4043886-7,,,,
"Bauschmuck, Grabmal","Architectural Decor, Tomb",Y,https://d-nb.info/gnd/4043886-7 + https://d-nb.info/gnd/4021732-2,,,,
Bausschmuck,Architectural Decor,Y,https://d-nb.info/gnd/4043886-7,,,,
Beichtspiegel,Confession Guide,Y,https://d-nb.info/gnd/4144358-5,fabio:InstructionalWork,,,
Beigefügtes oder enthaltenes Werk,Supplement,,,,,fabio:PrintObject,fabio:AnalogItem
Beilage,Inset,,https://d-nb.info/gnd/4203535-1,fabio:Addendum,,fabio:PrintObject,fabio:AnalogItem
Beispielsammlung,Collection of Examples,Y,https://d-nb.info/gnd/4144384-6,fabio:WorkCollection,,,
Beitrag zu einem Periodikum,Periodical Contribution,,,fabio:PeriodicalItem,,fabio:PrintObject,fabio:AnalogItem
Bekleidung,Apparel,Y,https://d-nb.info/gnd/4031011-5,,,,
Belletristische Darstellung,Belletristic Description,,https://d-nb.info/gnd/4144445-0,fabio:LiteraryWork,,fabio:PrintObject,fabio:AnalogItem
Bergbau,Mining,Y,https://d-nb.info/gnd/4005614-4,,,,
Bergbaukarte,Mining Map,,https://d-nb.info/gnd/4005614-4,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Bericht,Report,,https://d-nb.info/gnd/4128022-2,fabio:Report,,fabio:PrintObject,fabio:AnalogItem
"Bericht über Institution, Organisation o.Ä.",Institutional / Organizational Report,,,fabio:Report,,fabio:PrintObject,fabio:AnalogItem
Besitzeintrag,Ownership Registration,Y,https://d-nb.info/gnd/4404569-4,fabio:ArchivalRecord,,fabio:AnalogManifestation,fabio:AnalogItem
Bestandsanfrage,Inventory Inquiry,Y+NF,https://d-nb.info/gnd/4205291-9,,,,
Besteck,Cutlery,Y,https://d-nb.info/gnd/4144935-6,,,,
Bestimmungsbuch,Identification Guide,,https://d-nb.info/gnd/4144950-2,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Bibel,Bible,Y,https://d-nb.info/gnd/4194156-1,,fabio:Book,fabio:PrintObject,fabio:AnalogItem
Bibliographie,Bibliography,,,fabio:BibliographicMetadata,,fabio:PrintObject,fabio:AnalogItem
Bibliographie 1818-1885,Bibliography,,,fabio:BibliographicMetadata,,fabio:PrintObject,fabio:AnalogItem
bibliography,Bibliography,,,fabio:BibliographicMetadata,,fabio:PrintObject,fabio:AnalogItem
Bibliothekskatalog,Library Catalog,,https://d-nb.info/gnd/4145270-7,fabio:LibraryCatalog,,fabio:AnalogManifestation,fabio:AnalogItem
Bild,Still Image,,https://d-nb.info/gnd/4006568-6,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Bildband,Picture Book,,https://d-nb.info/gnd/4145395-5,fabio:StillImage,fabio:Book,fabio:PrintObject,fabio:AnalogItem
Bildliche Darstellung,Pictorial Representation,,https://d-nb.info/gnd/4145419-4,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Bildnis,Portait,,https://d-nb.info/gnd/4006627-7,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Biografie,Biography,,https://d-nb.info/gnd/4006804-3,fabio:Biography,,fabio:PrintObject,fabio:AnalogItem
Biographie,Biography,,,fabio:Biography,,fabio:PrintObject,fabio:AnalogItem
biography,Biography,,,fabio:Biography,,fabio:PrintObject,fabio:AnalogItem
Bodenbeschaffenheit,Soil Composition,Y,https://d-nb.info/gnd/4007379-8,,,,
Bodenkarte,Soil Map,,https://d-nb.info/gnd/7503057-3,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Bodenprofil,Soil Profile,Y,https://d-nb.info/gnd/4146163-0,,,,
book,Book,,,,fabio:Book,fabio:PrintObject,fabio:AnalogItem
Botanik,Botany,Y,https://d-nb.info/gnd/4007842-5,,,,
Braunkohle,Lignite,Y,https://d-nb.info/gnd/4008048-1,,,,
Brevier,Breviary,Y,https://d-nb.info/gnd/4146599-4,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Brief,Letter,,https://d-nb.info/gnd/4008240-4,,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Briefkopf,Letter Head,,https://d-nb.info/gnd/4227542-8,,,,
Briefmarke,Stamp,Y+NF,https://d-nb.info/gnd/4008242-8,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Briefsammlung,Letter Collection,,https://d-nb.info/gnd/4146609-3,fabio:WorkCollection,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Briefsammlung 1837,Letter Collection,,https://d-nb.info/gnd/4146609-3,fabio:WorkCollection,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Briefsteller,Letter Writing Guidelines,,https://d-nb.info/gnd/4146612-3,fabio:InstructionalWork,,fabio:PrintObject,fabio:AnalogItem
Brouillon,Sketch Book,,,,fabio:Notebook,fabio:AnalogManifestation,fabio:AnalogItem
Buch,Book,,https://d-nb.info/gnd/4008570-3,,fabio:Book,fabio:PrintObject,fabio:AnalogItem
Buchbeitrag,Book Review,,,fabio:BookReview,,fabio:PrintObject,fabio:AnalogItem
Buchbinderanweisung,Bookbinding Instruction,Y,https://d-nb.info/gnd/4122967-8,fabio:InstructionalWork,,fabio:PrintObject,fabio:AnalogItem
Buchdruck,Book Printing,Y,https://d-nb.info/gnd/4008598-3,,,,
Bucheinband,Book Cover,,https://d-nb.info/gnd/4008602-1,fabio:Cover,,fabio:PrintObject,fabio:AnalogItem
Bücheranzeige,Book Advertisement,Y+NF,https://d-nb.info/gnd/7508712-1,,,,
Buchgestaltung,Book Design,Y,https://d-nb.info/gnd/4146814-4,,,,
Buchhandelskatalog,Bookfair Catalog,,https://d-nb.info/gnd/4008626-4,fabio:Catalog,,fabio:PrintObject,fabio:AnalogItem
Buchillustration,Book Illustration,Y,https://d-nb.info/gnd/4123412-1,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Buchkunst,Book Art,Y,https://d-nb.info/gnd/4008648-3,,,,
Buchmalerei,Book Painting,Y,https://d-nb.info/gnd/4008650-1,,,,
Buchseite,Book Page,,,,,,
Büste,Bust,Y,https://d-nb.info/gnd/4008836-4,,,,
catalog,Catalog,,,fabio:Catalog,,fabio:AnalogManifestation,fabio:AnalogItem
Chemie,Chemistry,Y,https://d-nb.info/gnd/4009816-3,,,,
Chiromantie,Palmistry,Y,https://d-nb.info/gnd/4072291-0,,,,
Chirurgie,Surgery,Y,https://d-nb.info/gnd/4009987-8,,,,
Chronik,Chronicle,,https://d-nb.info/gnd/4127914-1,fabio:ReferenceWork,,fabio:PrintObject,fabio:AnalogItem
Danksagung,Acknowledgement,Y,https://d-nb.info/gnd/4210238-8,,,,
Des Herrn von Rosnay Naturlehre für das schöne Geschlechte,,,,,,,
Diplomarbeit,Undergraduate Thesis,,https://d-nb.info/gnd/4012400-9 ,,fabio:Thesis,fabio:PrintObject,fabio:AnalogItem
directory,Directory,,,fabio:ReferenceWork,,,
Diskussionsprotokoll,Discussion Protocol,,https://d-nb.info/gnd/4012478-2,fabio:MeetingReport,,fabio:PrintObject,fabio:AnalogItem
Dissertation,Dissertation,,https://d-nb.info/gnd/4012494-0 ,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation o. Habilitation,Advanced Doctoral Thesis,,,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation: jur.,Legal Doctoral Thesis,Y,https://d-nb.info/gnd/4076570-2+https://d-nb.info/gnd/4029067-0,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation: jur.Kommentar: jur.,Legal Doctoral Thesis,Y,https://d-nb.info/gnd/4076570-2+https://d-nb.info/gnd/4029067-0,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation: med.,Medical Doctoral Thesis,Y,https://d-nb.info/gnd/4038243-6+https://d-nb.info/gnd/4038291-6,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation: theol.,Theological Doctoral Thesis,Y,https://d-nb.info/gnd/4059758-1+https://d-nb.info/gnd/4185080-4,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation:jur,Legal Doctoral Thesis,Y,https://d-nb.info/gnd/4076570-2+https://d-nb.info/gnd/4029067-0,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation:jur.,Legal Doctoral Thesis,Y,https://d-nb.info/gnd/4076570-2+https://d-nb.info/gnd/4029067-0,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation:med.,Medical Doctoral Thesis,Y,https://d-nb.info/gnd/4038243-6+https://d-nb.info/gnd/4038291-6,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation:phil.,Dissertation,Y,https://d-nb.info/gnd/4045791-6+https://d-nb.info/gnd/4185080-4,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertation:theol.,Theological Doctoral Thesis,Y,https://d-nb.info/gnd/4059758-1+https://d-nb.info/gnd/4174284-9,,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dissertationensammlung,Thesis Collection,,,fabio:WorkCollection,fabio:DoctoralThesis,fabio:PrintObject,fabio:AnalogItem
Dokument,Document,,https://d-nb.info/gnd/4139988-2,,fabio:Expression,fabio:PrintObject,fabio:AnalogItem
